date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
28.02.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
01.03.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
02.03.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
03.03.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
04.03.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
05.03.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
06.03.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
07.03.21;Berlin;strict;strict;closed;closed;partially open;closed;closed;closed
08.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
09.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
10.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
11.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
12.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
13.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
14.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
15.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
16.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
17.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
18.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
19.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
20.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
21.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
22.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
23.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
24.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
25.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
26.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
27.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
28.03.21;Berlin;strict;strict;closed;partially open;partially open;open;closed;closed
29.03.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
30.03.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
31.03.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
01.04.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
02.04.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
03.04.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
04.04.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
05.04.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
06.04.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
07.04.21;Berlin;strict;strict;closed;partially open;holidays;open;closed;closed
08.04.21;Berlin;strict;strict;closed;partially open;holidays;closed;closed;closed
09.04.21;Berlin;strict;strict;closed;partially open;holidays;closed;closed;closed
10.04.21;Berlin;strict;strict;closed;partially open;holidays;closed;closed;closed
11.04.21;Berlin;strict;strict;closed;partially open;holidays;closed;closed;closed
12.04.21;Berlin;strict;strict;closed;partially open;partially open;closed;closed;closed
13.04.21;Berlin;strict;strict;closed;partially open;partially open;closed;closed;closed
